"SQGDP2 Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018:Q1","2018:Q2","2018:Q3","2018:Q4"
"13000","Georgia","6","      Mining, quarrying, and oil and gas extraction",1325.1,1338.5,1371.2,1311.7
"13000","Georgia","10","      Utilities",11036.4,10933.6,10830.7,11180.8
"13000","Georgia","11","      Construction",24213.6,24607.2,25112.6,25215.1
"13000","Georgia","12","      Manufacturing",62947.4,62216.3,63669.1,64434.6
"13000","Georgia","13","          Durable goods manufacturing",29901.0,29572.0,30687.2,30801.6
"13000","Georgia","25","          Nondurable goods manufacturing",33046.4,32644.3,32981.9,33633.0
"13000","Georgia","34","      Wholesale trade",43369.0,44203.7,45516.6,47077.4
"13000","Georgia","35","      Retail trade",31452.7,32160.7,32125.2,32140.4
"13000","Georgia","36","      Transportation and warehousing",25225.6,25442.9,25449.2,24934.6
"13000","Georgia","45","      Information",43478.5,46000.2,47694.5,47552.5
"13000","Georgia","51","      Finance and insurance",47247.4,47285.3,48865.6,47742.3
"13000","Georgia","56","      Real estate and rental and leasing",73051.2,73479.8,74194.3,75547.1
"13000","Georgia","60","      Professional, scientific, and technical services",38829.0,39798.4,39996.3,40408.5
"13000","Georgia","64","      Management of companies and enterprises",11608.6,12045.1,12216.2,12515.8
"13000","Georgia","65","      Administrative and support and waste management and remediation services",20457.9,20810.2,21065.1,21521.3
"13000","Georgia","69","      Educational services",6501.6,6591.8,6695.6,6751.8
"13000","Georgia","70","      Health care and social assistance",37793.8,38364.9,38947.2,39411.8
"13000","Georgia","76","      Arts, entertainment, and recreation",3406.3,3716.3,3645.7,3779.0
"13000","Georgia","79","      Accommodation and food services",15578.2,15870.0,16062.8,16252.8
"13000","Georgia","82","      Other services (except government and government enterprises)",10645.0,10876.8,11155.1,11219.5
"13000","Georgia","83","  Government and government enterprises",67849.9,68510.2,69274.7,69474.0
"15000","Hawaii","1","All industry total",91946.7,93588.6,94287.8,95368.5
"15000","Hawaii","2","  Private industries",73883.0,75272.0,75752.0,76639.5
"15000","Hawaii","3","      Agriculture, forestry, fishing and hunting",419.9,436.2,469.0,480.0
"15000","Hawaii","6","      Mining, quarrying, and oil and gas extraction",78.5,92.2,99.0,99.4
"15000","Hawaii","10","      Utilities",1963.1,2050.9,2048.2,2060.7
"15000","Hawaii","11","      Construction",5354.4,5334.2,5376.9,5460.3
"15000","Hawaii","12","      Manufacturing",1962.1,2035.5,1963.8,2036.7
"15000","Hawaii","13","          Durable goods manufacturing",416.8,419.5,422.0,439.4
"15000","Hawaii","25","          Nondurable goods manufacturing",1545.3,1616.0,1541.7,1597.3
"15000","Hawaii","34","      Wholesale trade",2737.7,2824.0,2872.6,2949.7
"15000","Hawaii","35","      Retail trade",5994.7,6091.8,6122.1,6152.0
"15000","Hawaii","36","      Transportation and warehousing",5144.5,5111.4,5314.1,5353.1
"15000","Hawaii","45","      Information",1855.3,2275.8,1981.1,2137.8
"15000","Hawaii","51","      Finance and insurance",3228.5,3392.4,3482.3,3417.5
"15000","Hawaii","56","      Real estate and rental and leasing",18554.0,18791.6,18970.8,19147.9
"15000","Hawaii","60","      Professional, scientific, and technical services",3686.1,3751.8,3759.6,3772.6
"15000","Hawaii","64","      Management of companies and enterprises",1119.5,1122.1,1155.2,1162.2
"15000","Hawaii","65","      Administrative and support and waste management and remediation services",3096.7,3139.3,3163.9,3226.9
"15000","Hawaii","69","      Educational services",955.4,963.0,987.5,994.7
"15000","Hawaii","70","      Health care and social assistance",6150.9,6155.3,6295.5,6369.2
"15000","Hawaii","76","      Arts, entertainment, and recreation",1083.3,1100.4,1092.4,1170.4
"15000","Hawaii","79","      Accommodation and food services",8439.7,8511.2,8491.2,8521.1
"15000","Hawaii","82","      Other services (except government and government enterprises)",2058.7,2093.1,2106.8,2127.2
"15000","Hawaii","83","  Government and government enterprises",18063.7,18316.6,18535.8,18729.0
"16000","Idaho","1","All industry total",75434.9,76681.3,77384.5,78707.3
"16000","Idaho","2","  Private industries",65457.2,66483.7,67158.3,68378.2
"16000","Idaho","3","      Agriculture, forestry, fishing and hunting",3201.4,3202.1,2985.4,3143.8
"16000","Idaho","6","      Mining, quarrying, and oil and gas extraction",303.8,265.7,307.0,315.8
"16000","Idaho","10","      Utilities",1388.6,1417.2,1373.2,1392.7
"16000","Idaho","11","      Construction",4980.5,5045.8,5135.3,5279.9
